handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20573,,,,TRUE,,,InStock,,28.14,,,Forest Green,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5524,,,,TRUE,,,InStock,,30.5,,,White,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21627,,,,TRUE,,,InStock,,28.5,,,Purple,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5594,,,,TRUE,,,InStock,,30.5,,,Navy,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5615,,,4.5,TRUE,,,InStock,,33.5,,,Sport Grey,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5611,,,,TRUE,,,InStock,,30.5,,,Sport Grey,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20547,,,,TRUE,,,InStock,,28.14,,,Ash,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_12998,,,,TRUE,,,InStock,,28.5,,,Sand,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5588,,,,TRUE,,,InStock,,30.5,,,Maroon,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_10852,,,,TRUE,,,InStock,,30.5,,,Light Pink,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20572,,,,TRUE,,,InStock,,28.14,,,Forest Green,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5523,,,,TRUE,,,InStock,,30.5,,,White,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5555,,,,TRUE,,,InStock,,30.5,,,Dark Chocolate,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5610,,,,TRUE,,,InStock,,30.5,,,Sport Grey,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5527,,,4.5,TRUE,,,InStock,,33.5,,,White,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_12997,,,,TRUE,,,InStock,,28.5,,,Sand,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5612,,,,TRUE,,,InStock,,30.5,,,Sport Grey,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_10851,,,,TRUE,,,InStock,,30.5,,,Light Pink,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5599,,,4.5,TRUE,,,InStock,,33.5,,,Navy,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5533,,,,TRUE,,,InStock,,30.5,,,Black,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20556,,,2.5,TRUE,,,InStock,,30.14,,,Ash,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_10853,,,2.5,TRUE,,,InStock,,32.0,,,Light Pink,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5596,,,,TRUE,,,InStock,,30.5,,,Navy,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5526,,,2.5,TRUE,,,InStock,,32.0,,,White,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21630,,,,TRUE,,,InStock,,28.5,,,Purple,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5589,,,,TRUE,,,InStock,,30.5,,,Maroon,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5598,,,2.5,TRUE,,,InStock,,32.0,,,Navy,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5557,,,,TRUE,,,InStock,,30.5,,,Dark Chocolate,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20550,,,,TRUE,,,InStock,,28.14,,,Ash,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_13002,,,4.5,TRUE,,,InStock,,32.14,,,Sand,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_10849,,,,TRUE,,,InStock,,30.5,,,Light Pink,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20571,,,,TRUE,,,InStock,,28.14,,,Forest Green,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_22118,,,,TRUE,,,InStock,,28.5,,,Gold,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5591,,,4.5,TRUE,,,InStock,,32.14,,,Maroon,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_12999,,,,TRUE,,,InStock,,28.5,,,Sand,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5558,,,2.5,TRUE,,,InStock,,32.0,,,Dark Chocolate,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_22121,,,,TRUE,,,InStock,,28.5,,,Gold,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5587,,,,TRUE,,,InStock,,30.5,,,Maroon,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5597,,,,TRUE,,,InStock,,30.5,,,Navy,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5590,,,2.5,TRUE,,,InStock,,32.0,,,Maroon,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5586,,,,TRUE,,,InStock,,30.5,,,Maroon,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
